Id,Label,class,methods,constructors,public methods,private methods,static methods,abstract methods,native methods,synchronized methods,final methods,members,public members,private members,protected members,synchronized members,final members,interface classes,abstract classes,directly associated classes,indirectly associated classes,class size,connections
java.util.prefs.AbstractPreferences$NodeRemovedEvent,NodeRemovedEvent,java.util.prefs.AbstractPreferences$NodeRemovedEvent,0,1,0,0,0,0,0,0,2,2,0,1,0,0,2,0,1,2,635,2,5
java.beans.StaticFieldsPersistenceDelegate,StaticFieldsPersistenceDelegate,java.beans.StaticFieldsPersistenceDelegate,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,627,3,2
java.util.concurrent.ConcurrentHashMap,ConcurrentHashMap,java.util.concurrent.ConcurrentHashMap,28,5,19,5,5,0,0,0,16,19,0,6,0,0,16,6,8,25,620,49,3094
sun.misc.SoftCache$1,,sun.misc.SoftCache$1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,625,0,9
java.util.LinkedList$1,,java.util.LinkedList$1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,620,0,3091
sun.awt.AWTAccessor$PopupMenuAccessor,PopupMenuAccessor,sun.awt.AWTAccessor$PopupMenuAccessor,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1189,1,19
sun.font.TextLabel,TextLabel,sun.font.TextLabel,12,1,12,0,0,6,0,0,0,0,0,0,0,0,0,1,3,4,1177,12,13
java.awt.ScrollPane$AccessibleAWTScrollPane,AccessibleAWTScrollPane,java.awt.ScrollPane$AccessibleAWTScrollPane,1,1,1,0,0,0,0,0,2,2,0,1,0,0,2,0,0,3,1177,3,677
java.util.ListIterator,ListIterator,java.util.ListIterator,9,0,9,0,0,9,0,0,0,0,0,0,0,0,0,1,1,2,620,10,3095
javax.swing.plaf.UIResource,UIResource,javax.swing.plaf.UIResource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
sun.util.calendar.AbstractCalendar,AbstractCalendar,sun.util.calendar.AbstractCalendar,22,1,14,0,3,3,0,0,5,6,0,1,0,0,5,0,3,5,620,28,3093
sun.awt.AWTAccessor$WindowAccessor,WindowAccessor,sun.awt.AWTAccessor$WindowAccessor,14,0,14,0,0,14,0,0,0,0,0,0,0,0,0,1,2,5,1189,14,20
java.awt.peer.MenuPeer,MenuPeer,java.awt.peer.MenuPeer,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,1,1,2,1177,4,678
java.security.PermissionCollection,PermissionCollection,java.security.PermissionCollection,6,1,6,0,0,3,0,0,1,2,0,2,0,0,1,2,3,5,620,9,3095
javax.print.DocFlavor,DocFlavor,javax.print.DocFlavor,11,1,8,3,0,0,0,0,2,5,1,4,0,0,2,2,2,16,635,18,20
